"Ticker","Nome","Negócios","Última (R$)","Variação"
"WHRL3","Whirlpool","1.000","4,43","-0,23%"
"OSXB3","OSX Brasil","1.000","3,84","-1,29%"
"CTSA3","Santanense","900","2,32","+0,43%"
"MRSA3B","MRS Logística","700","27,00","-6,90%"
"FIEI3","Fica","700","12,00","+9,09%"
"WLMM3","WLM","600","26,00","+6,56%"
"CGRA4","Grazziotin","600","25,66","-0,85%"
"BGIP4","Banese","600","22,03","-2,09%"
"RPAD3","Alfa Holdings","600","9,00","+0,00%"
"CLSC3","Celesc","500","70,01","+0,00%"
"UNIP5","Unipar","500","51,87","-3,23%"
"PSVM11","PSVM11","500","4,83","-3,78%"
"CGAS5","Comgás","400","115,79","+0,42%"
"CSRN5","COSERN","400","22,50","+6,89%"
"BSLI3","Banco de Brasília","400","9,79","-0,51%"
"PLAS3","Plascar","400","5,20","-5,80%"
"PEAB3","Participações Aliança da Bahia","300","43,00","-1,15%"
"FESA3","Ferbasa","300","13,20","-1,12%"
"BAUH4","Excelsior","200","79,50","+0,01%"
"WLMM4","WLM","200","31,00","+0,68%"
"CEDO3","Cedro Têxtil","200","30,80","+12,82%"
"CGRA3","Grazziotin","200","25,50","+0,91%"
"AVLL3","Alphaville","200","3,55","+0,00%"
"BMKS3","Monark","157","325,00","-1,26%"
"FRIO3","Metalfrio","100","180,01","-26,53%"
"CGAS3","Comgás","100","112,00","+6,66%"
"TKNO4","Tekno","100","84,00","+0,00%"
"ENMT4","Energisa MT","100","78,99","+0,00%"
"AHEB3","São Paulo Turismo","100","35,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","100","26,04","+0,15%"
"CALI3","Adolpho Lindenberg","100","26,00","+0,00%"
"BGIP3","Banese","100","24,15","-0,08%"
"BSLI4","Banco de Brasília","100","10,12","+1,20%"
"PTNT3","Pettenati","100","9,94","+1,53%"
"IGTI4","Jereissati Participações","100","9,57","-1,34%"
"IGTI4","Iguatemi","100","9,57","-1,34%"
"PINE3","Banco Pine","100","5,60","+3,90%"
"NORD3","Nordon","100","5,50","+0,00%"
"ESTR4","Estrela","100","1,96","+0,00%"
"APER3","Alper","58.700","45,98","+0,83%"
"BAHI3","Bahema","1.600","6,51","+3,17%"
"HETA4","Hercules","1.000","5,24","-1,13%"
"MAPT4","Cemepe","400","5,50","-10,86%"
"HBTS5","Habitasul","300","40,00","-2,34%"
"CTKA4","Karsten","300","20,75","+9,21%"
"TEKA4","Teka","200","31,58","+1,87%"
"CRPG6","Tronox Pigmentos","200","30,00","+0,03%"
"CPLE5","Copel","200","14,00","+0,00%"
"LIPR3","Eletropar","100","48,42","-0,41%"
"CEEB3","COELBA","100","39,74","-0,90%"
"BMEB3","Banco Mercantil do Brasil","100","27,50","+0,00%"
"CEED3","CEEE D","100","13,05","-14,20%"
"EALT3","Electro Aço Altona","100","10,80","+0,00%"
"MERC4","Mercantil do Brasil Financeira","2.200","10,35","+15,00%"
"BMIN4","Banco Mercantil de Investimentos","500","15,60","+0,00%"
"EQMA3B","Equatorial Maranhão","200","25,50","+0,00%"
"CBEE3","Ampla Energia","200","10,00","+2,04%"
"CTKA3","Karsten","100","21,58","-0,05%"
"HOOT4","Hotéis Othon","100","2,44","+0,00%"
"RPAD5","Alfa Holdings","4.900","8,56","-0,47%"
"MRSA5B","MRS Logística","300","26,56","+0,00%"
"AFLT3","Afluente T","300","7,21","-0,28%"
"MRSA6B","MRS Logística","200","26,56","-5,14%"
"PATI3","Panatlântica","200","25,00","+0,00%"
"BALM4","Baumer","200","10,25","-0,49%"
"BMIN3","Banco Mercantil de Investimentos","100","19,62","-1,90%"
"BRKM6","Braskem","100","15,49","+0,00%"
"PINE11","Banco Pine","100","8,35","-1,76%"
"EQPA6","Equatorial Energia Pará","100","8,00","+14,29%"
"MWET4","Wetzel","7.400","11,00","+31,42%"
"CTNM3","Coteminas","500","7,99","-5,78%"
"LUXM4","Trevisa","100","14,96","+6,93%"
"MAPT3","Cemepe","100","4,80","+14,01%"
"BNBR3","Banco do Nordeste","400","111,50","-3,88%"
"JOPA3","Josapar","200","23,00","+9,52%"
"BALM3","Baumer","100","12,50","+0,08%"
"BDLL4","Bardella","100","10,00","+0,00%"
"ENMT3","Energisa MT","100","85,00","+0,00%"
"DMFN3","DM Financeira","100","12,50","-10,71%"
"GSHP3","General Shopping & Outlets","100","10,50","-0,66%"
"BRSR5","Banrisul","100","16,99","+14,03%"
"BDLL3","Bardella","100","13,01","+0,00%"
"RPAD6","Alfa Holdings","100","8,75","+0,00%"
"EQPA7","Equatorial Energia Pará","100","8,24","+0,00%"
"CALI11","CALI11","100","6,00","+0,00%"
